"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50._Fem_GP_1","Mat_slope_Fem_GP_1","Eggs.kg_inter_Fem_GP_1","Eggs.kg_slope_wt_Fem_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","Late_RecrDev_101","Late_RecrDev_102","Late_RecrDev_103","Late_RecrDev_104","Late_RecrDev_105","ForeRecr_106","ForeRecr_107","ForeRecr_108","ForeRecr_109","ForeRecr_110","LnQ_base_Survey_2","Size_DblN_peak_Fishery_1","Size_DblN_top_logit_Fishery_1","Size_DblN_ascend_se_Fishery_1","Size_DblN_descend_se_Fishery_1","Size_DblN_start_logit_Fishery_1","Size_DblN_end_logit_Fishery_1","Size_DblN_peak_Survey_2","Size_DblN_top_logit_Survey_2","Size_DblN_ascend_se_Survey_2","Size_DblN_descend_se_Survey_2","Size_DblN_start_logit_Survey_2","Size_DblN_end_logit_Survey_2","minage.sel.1_Fishery_1","maxage.sel.1_Fishery_1","minage.sel.1_Survey_2","maxage.sel.1_Survey_2","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_Fishery","Curr_Var_Adj_agecomp_flt_2_Survey","version","RunTime","model_run","hessian","Niterations","Late_RecrDev_106","Late_RecrDev_107","Late_RecrDev_108","Late_RecrDev_109","Late_RecrDev_110","ForeRecr_111","ForeRecr_112","ForeRecr_113","ForeRecr_114","ForeRecr_115","Late_RecrDev_111","Late_RecrDev_112","Late_RecrDev_113","Late_RecrDev_114","Late_RecrDev_115","ForeRecr_116","ForeRecr_117","ForeRecr_118","ForeRecr_119","ForeRecr_120","Late_RecrDev_116","Late_RecrDev_117","Late_RecrDev_118","Late_RecrDev_119","Late_RecrDev_120","ForeRecr_121","ForeRecr_122","ForeRecr_123","ForeRecr_124","ForeRecr_125","Late_RecrDev_121","Late_RecrDev_122","Late_RecrDev_123","Late_RecrDev_124","Late_RecrDev_125","ForeRecr_126","ForeRecr_127","ForeRecr_128","ForeRecr_129","ForeRecr_130","Late_RecrDev_126","Late_RecrDev_127","Late_RecrDev_128","Late_RecrDev_129","Late_RecrDev_130","ForeRecr_131","ForeRecr_132","ForeRecr_133","ForeRecr_134","ForeRecr_135","Late_RecrDev_131","Late_RecrDev_132","Late_RecrDev_133","Late_RecrDev_134","Late_RecrDev_135","ForeRecr_136","ForeRecr_137","ForeRecr_138","ForeRecr_139","ForeRecr_140","Late_RecrDev_136","Late_RecrDev_137","Late_RecrDev_138","Late_RecrDev_139","Late_RecrDev_140","ForeRecr_141","ForeRecr_142","ForeRecr_143","ForeRecr_144","ForeRecr_145","Late_RecrDev_141","Late_RecrDev_142","Late_RecrDev_143","Late_RecrDev_144","Late_RecrDev_145","ForeRecr_146","ForeRecr_147","ForeRecr_148","ForeRecr_149","ForeRecr_150","ForeRecr_101","ForeRecr_102","ForeRecr_103","ForeRecr_104","ForeRecr_105","Late_RecrDev_146","Late_RecrDev_147","Late_RecrDev_148","Late_RecrDev_149","Late_RecrDev_150","ForeRecr_151","Size_DblN_ascend_se_Fishery_1_dev_se","Size_DblN_ascend_se_Fishery_1_dev_autocorr","Size_DblN_ascend_se_Fishery_1_DEVadd_101","Size_DblN_ascend_se_Fishery_1_DEVadd_102","Size_DblN_ascend_se_Fishery_1_DEVadd_103","Size_DblN_ascend_se_Fishery_1_DEVadd_104","Size_DblN_ascend_se_Fishery_1_DEVadd_105","Size_DblN_ascend_se_Fishery_1_DEVadd_106","Size_DblN_ascend_se_Fishery_1_DEVadd_107","Size_DblN_ascend_se_Fishery_1_DEVadd_108","Size_DblN_ascend_se_Fishery_1_DEVadd_109","Size_DblN_ascend_se_Fishery_1_DEVadd_110","Size_DblN_ascend_se_Fishery_1_DEVadd_111","Size_DblN_ascend_se_Fishery_1_DEVadd_112","Size_DblN_ascend_se_Fishery_1_DEVadd_113","Size_DblN_ascend_se_Fishery_1_DEVadd_114","Size_DblN_ascend_se_Fishery_1_DEVadd_115","Size_DblN_ascend_se_Fishery_1_DEVadd_116","Size_DblN_ascend_se_Fishery_1_DEVadd_117","Size_DblN_ascend_se_Fishery_1_DEVadd_118","Size_DblN_ascend_se_Fishery_1_DEVadd_119","Size_DblN_ascend_se_Fishery_1_DEVadd_120","Size_DblN_ascend_se_Fishery_1_DEVadd_121","Size_DblN_ascend_se_Fishery_1_DEVadd_122","Size_DblN_ascend_se_Fishery_1_DEVadd_123","Size_DblN_ascend_se_Fishery_1_DEVadd_124","Size_DblN_ascend_se_Fishery_1_DEVadd_125","Size_DblN_ascend_se_Fishery_1_DEVadd_126","Size_DblN_ascend_se_Fishery_1_DEVadd_127","Size_DblN_ascend_se_Fishery_1_DEVadd_128","Size_DblN_ascend_se_Fishery_1_DEVadd_129","Size_DblN_ascend_se_Fishery_1_DEVadd_130","Size_DblN_ascend_se_Fishery_1_DEVadd_131","Size_DblN_ascend_se_Fishery_1_DEVadd_132","Size_DblN_ascend_se_Fishery_1_DEVadd_133","Size_DblN_ascend_se_Fishery_1_DEVadd_134","Size_DblN_ascend_se_Fishery_1_DEVadd_135","Size_DblN_ascend_se_Fishery_1_DEVadd_136","Size_DblN_ascend_se_Fishery_1_DEVadd_137","Size_DblN_ascend_se_Fishery_1_DEVadd_138","Size_DblN_ascend_se_Fishery_1_DEVadd_139","Size_DblN_ascend_se_Fishery_1_DEVadd_140","Size_DblN_ascend_se_Fishery_1_DEVadd_141","Size_DblN_ascend_se_Fishery_1_DEVadd_142","Size_DblN_ascend_se_Fishery_1_DEVadd_143","Size_DblN_ascend_se_Fishery_1_DEVadd_144","Size_DblN_ascend_se_Fishery_1_DEVadd_145","Size_DblN_ascend_se_Fishery_1_DEVadd_146","Size_DblN_ascend_se_Fishery_1_DEVadd_147","Size_DblN_ascend_se_Fishery_1_DEVadd_148","Size_DblN_ascend_se_Fishery_1_DEVadd_149","Size_DblN_ascend_se_Fishery_1_DEVadd_150","iteration","scenario"
4023020000,4054800000,4053410000,133678000,1609210000,0.480769,0.0984626,160910000,1466170000,0.109024,162500000,1466170000,0.45,0.109024,162500000,162500000,0.0806395,0.554595801164299,0.36046728459672,1,26,99,100,0.9,NA,NA,NA,0.2,20.6443,132.343,0.192346,0.0862611,0.100185,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7109,0.65,0.4,0,0,-0.418219,0.0107972,-0.429867,0.160729,2.55082e-05,0,0,0,0,0,0.128754,55.2478,-3,5.42288,15,-999,999,44.0544,-4,5.35976,14,-99,99,0,25,0,25,170092000,434.922,5.69946e-16,0,-12.9225,306.948,170.412,-30.7218,7.80002e-31,1.20514,0,0.000904386,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.55,"cod_EM_105",FALSE,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4109030000,4141580000,4140160000,136755000,1643610000,0.480769,0.0984766,164381000,1497510000,0.10904,166006000,1497510000,0.45,0.10904,166006000,166006000,0.079833,0.531147253731416,0.364607973806794,1,26,99,100,0.9,NA,NA,NA,0.2,20.6666,132.274,0.192273,0.0860821,0.100393,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7337,0.65,0.4,0,0,-0.371098,0.142061,-0.385518,0.231951,-0.204269,NA,NA,NA,NA,NA,0.102791,55.2784,-3,5.42487,15,-999,999,43.9327,-4,5.35352,14,-99,99,0,25,0,25,191650000,443.066,4.98499e-16,0,-14.0983,306.917,178.357,-29.7929,0,1.68314,0,0.000906773,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.533333333333333,"cod_EM_110",FALSE,541,-0.063187,0.056927,-0.328809,0.145631,-8.26863e-07,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4050500000,4082560000,4081160000,134697000,1620200000,0.480769,0.0984473,161989000,1476180000,0.109007,163589000,1476180000,0.45,0.109007,163589000,163589000,0.0841053,0.343399580298729,0.362027062328283,1,26,99,100,0.9,NA,NA,NA,0.2,20.6677,132.335,0.192182,0.0861217,0.100218,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7185,0.65,0.4,0,0,-0.43456,0.059629,-0.494912,0.176674,-0.263114,NA,NA,NA,NA,NA,0.115594,55.238,-3,5.42084,15,-999,999,43.6427,-4,5.32203,14,-99,99,0,25,0,25,190798000,455.062,1.44324e-14,0,-13.6318,306.642,189.125,-30.3732,0,3.29894,0,0.00091687,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.566666666666667,"cod_EM_115",FALSE,540,-0.177513,-0.0663145,-0.462599,-0.43539,-0.147251,NA,NA,NA,NA,NA,0.0535611,-0.153965,0.13132,-0.113613,3.46183e-05,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4070890000,4103100000,4101690000,135441000,1628360000,0.480769,0.0985004,162891000,1483610000,0.109067,164501000,1483610000,0.45,0.109067,164501000,164501000,0.0932657,0.498674736973979,0.362230716520774,1,26,99,100,0.9,NA,NA,NA,0.2,20.6526,132.241,0.192505,0.0861162,0.100455,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.724,0.65,0.4,0,0,-0.422363,0.0880759,-0.479915,0.193263,-0.244338,NA,NA,NA,NA,NA,0.117733,55.2414,-3,5.42111,15,-999,999,43.6204,-4,5.30425,14,-99,99,0,25,0,25,146914000,467.485,4.82663e-15,0,-13.4759,306.637,199.045,-30.3274,0,5.60487,0,0.000919685,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.633333333333333,"cod_EM_120",FALSE,569,-0.1501,-0.0282365,-0.435935,-0.342214,-0.168343,NA,NA,NA,NA,NA,0.201772,-0.0361505,0.241838,0.136047,0.636337,NA,NA,NA,NA,NA,-0.321398,0.522806,-0.0132234,-0.143126,0.000953624,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4099090000,4131580000,4130150000,136540000,1639640000,0.480769,0.0985063,164033000,1493890000,0.109073,165655000,1493890000,0.45,0.109073,165655000,165655000,0.0529189,0.51831260108951,0.362973436294428,1,26,99,100,0.9,NA,NA,NA,0.2,20.6644,132.166,0.192563,0.0859764,0.100674,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7321,0.65,0.4,0,0,-0.410263,0.102706,-0.466115,0.205255,-0.232494,NA,NA,NA,NA,NA,0.0942535,55.2141,-3,5.41947,15,-999,999,43.3857,-4,5.23591,14,-99,99,0,25,0,25,189374000,481.484,2.24368e-15,0,-15.1781,306.559,212.179,-30.1608,0,8.08433,0,0.000933896,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.666666666666667,"cod_EM_125",FALSE,578,-0.124055,0.0123582,-0.391065,-0.358269,-0.154198,NA,NA,NA,NA,NA,0.230941,0.0363378,0.271576,0.253838,0.621138,NA,NA,NA,NA,NA,-0.268585,0.548576,-0.000667517,0.18522,-0.336608,NA,NA,NA,NA,NA,0.300107,0.15403,-0.68925,-0.293038,0.000120756,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4121620000,4154340000,4152910000,137450000,1648650000,0.480769,0.0985085,164943000,1502100000,0.109075,166574000,1502100000,0.45,0.109075,166574000,166574000,0.0668068,0.486929896497008,0.363266712900812,1,26,99,100,0.9,NA,NA,NA,0.2,20.6768,132.096,0.192604,0.0858385,0.10089,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7388,0.65,0.4,0,0,-0.401349,0.11333,-0.455101,0.217765,-0.218986,NA,NA,NA,NA,NA,0.0735748,55.1845,-3,5.41768,15,-999,999,43.3309,-4,5.21767,14,-99,99,0,25,0,25,181177000,487.022,1.36598e-15,0,-16.4809,306.519,217.42,-30.0949,0,9.65733,0,0.000937935,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.7,"cod_EM_130",FALSE,597,-0.108244,0.0304256,-0.363276,-0.341348,-0.118028,NA,NA,NA,NA,NA,0.263935,0.0880393,0.31744,0.355408,0.671504,NA,NA,NA,NA,NA,-0.205762,0.630227,0.0718792,0.226614,-0.302407,NA,NA,NA,NA,NA,0.353787,0.278452,-0.598431,-0.599653,0.0128134,NA,NA,NA,NA,NA,0.000548115,0.0153768,-0.211439,-0.174488,8.41024e-06,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4111930000,4144560000,4143130000,137062000,1644770000,0.480769,0.0984969,164535000,1498570000,0.109063,166161000,1498570000,0.45,0.109063,166161000,166161000,0.0336026,0.385145175136736,0.363341393061353,1,26,99,100,0.9,NA,NA,NA,0.2,20.6755,132.135,0.192536,0.0858891,0.100778,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7359,0.65,0.4,0,0,-0.403325,0.110718,-0.461606,0.215015,-0.222223,NA,NA,NA,NA,NA,0.0816034,55.1866,-3,5.41757,15,-999,999,43.1176,-4,5.19393,14,-99,99,0,25,0,25,177528000,496.78,3.15246e-15,0,-17.6628,306.532,227.667,-30.0781,0,10.3213,0,0.000945256,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.716666666666667,"cod_EM_135",FALSE,604,-0.112362,0.025463,-0.372642,-0.347197,-0.125153,NA,NA,NA,NA,NA,0.259629,0.0815553,0.302525,0.332703,0.630937,NA,NA,NA,NA,NA,-0.216005,0.596939,0.0447417,0.142047,-0.389002,NA,NA,NA,NA,NA,0.295967,0.22239,-0.680302,-0.624947,-0.0149224,NA,NA,NA,NA,NA,-0.0490117,-0.0642919,-0.318106,0.117972,-0.00679998,NA,NA,NA,NA,NA,-0.156645,-0.300133,0.174239,0.150586,8.82489e-07,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4126980000,4159760000,4158330000,137716000,1650790000,0.480769,0.0985233,165184000,1504060000,0.109092,166817000,1504060000,0.45,0.109092,166817000,166817000,0.048132,0.437751091597245,0.363127864493626,1,26,99,100,0.9,NA,NA,NA,0.2,20.6757,132.028,0.192764,0.0857862,0.101087,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7407,0.65,0.4,0,0,-0.401573,0.113222,-0.463146,0.215899,-0.21967,NA,NA,NA,NA,NA,0.0736804,55.1457,-3,5.41482,15,-999,999,42.8966,-4,5.18369,14,-99,99,0,25,0,25,163465000,505.118,2.1097e-15,0,-18.9076,306.545,236.178,-30.1261,0,11.4279,0,0.000951552,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.716666666666667,"cod_EM_140",FALSE,570,-0.108845,0.0298816,-0.372482,-0.344146,-0.119616,NA,NA,NA,NA,NA,0.266742,0.0900111,0.307291,0.341323,0.642226,NA,NA,NA,NA,NA,-0.192526,0.613038,0.0520123,0.14634,-0.38267,NA,NA,NA,NA,NA,0.33458,0.25169,-0.661726,-0.618648,0.0371861,NA,NA,NA,NA,NA,-0.0574742,-0.0495565,-0.307762,0.131574,0.0390833,NA,NA,NA,NA,NA,-0.16824,-0.295831,0.199167,0.355576,0.0738546,NA,NA,NA,NA,NA,-0.114951,-0.252727,0.207932,0.280878,7.10677e-06,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
4136840000,4169730000,4168290000,138158000,1654730000,0.480769,0.0985234,165581000,1507650000,0.109092,167219000,1507650000,0.45,0.109092,167219000,167219000,0.05424,0.448791831446225,0.363229158542698,1,26,99,100,0.9,NA,NA,NA,0.2,20.6847,131.976,0.1928,0.0856903,0.10125,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.7439,0.65,0.4,0,0,-0.400709,0.114552,-0.46353,0.216248,-0.218835,NA,NA,NA,NA,NA,0.0595568,55.1176,-3,5.41306,15,-999,999,42.7633,-4,5.16377,14,-99,99,0,25,0,25,180864000,514.184,1.77201e-15,0,-20.5251,306.525,246.165,-30.1034,0,12.1219,0,0.000957448,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.8,"cod_EM_145",FALSE,642,-0.107434,0.0318723,-0.372308,-0.343422,-0.118236,NA,NA,NA,NA,NA,0.268999,0.0930549,0.308772,0.343625,0.645175,NA,NA,NA,NA,NA,-0.189089,0.617395,0.05493,0.150752,-0.37759,NA,NA,NA,NA,NA,0.348326,0.265095,-0.656195,-0.617356,0.0392979,NA,NA,NA,NA,NA,-0.054231,-0.0302363,-0.305038,0.204309,0.0893458,NA,NA,NA,NA,NA,-0.14379,-0.2444,0.231957,0.298742,0.161038,NA,NA,NA,NA,NA,-0.0351298,-0.201162,0.260102,0.257252,0.0396322,NA,NA,NA,NA,NA,-0.0151356,-0.440897,-0.193525,-0.0819016,1.12245e-06,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
3850530000,3880950000,3879620000,127744000,1540210000,0.480769,0.0984031,153918000,1403310000,0.108958,155439000,1403310000,0.45,0.108958,155439000,155439000,0.097305,0.453358368847925,0.356932539113306,1,26,99,100,0.9,NA,NA,NA,0.2,20.6791,132.596,0.19156,0.086214,0.0993705,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,0.5,18.6655,0.65,0.4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172194,55.3722,-3,5.42668,15,-999,999,43.5446,-4,5.24896,14,-99,99,0,25,0,25,127710000,421.286,7.91058e-16,0,-13.8852,305.748,160.928,-31.5062,0,0,0,0.000927186,0,0,1,1,"3.30.18.00;_safe;_compile_date:_Sep 30 2021;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_12.3",0.35,"cod_EM_init",FALSE,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"h-1"
