"","x"
"1",5.3552675426215
"2",5.34680794641
"3",5.543641741849
"4",5.576935153546
"5",5.49122862417
"6",5.143314871839
"7",5.111100427184
"8",5.2016270685388
"9",4.919796616041
"10",5.503427997176
"11",5.2565006038852
"12",5.160919598243
"13",5.2477759649973
"14",5.27866467709193
"15",5.461822508624
"16",5.166415742767
"17",5.242986213206
"18",5.2872656283445
"19",5.2333200298017
"20",5.339475471615
"21",5.494205393915
"22",5.2857002418081
"23",5.2108952393488
"24",5.15489895579
"25",5.350322740701
"26",5.146178964761
"27",5.27961719121368
"28",5.3068953584892
"29",5.2725823946652
"30",5.149711006093
"31",5.515612038046
"32",5.662710474505
"33",5.1797918112921
"34",5.451041523591
"35",5.421890844559
"36",5.112240718638
"37",5.564521976543
"38",5.083438221708
"39",5.157318740542
"40",5.469045017498
"41",5.2538515637743
"42",5.3473016470068
"43",5.131045297239
"44",5.1859935878367
"45",5.3487148923157
"46",5.2927905680071
"47",5.38848954257
"48",5.131350526926
"49",5.3291567681319
"50",5.631352098706
